Gene,log2FC,AveExpr,t,P.Value,adj.P.Val,B
CCT6P3,-0.20993182,3.201771606,-4.411032105,1.11E-05,1.36E-05,1.082825985
MAP3K10,-0.22061449,3.644226885,-4.413178906,1.10E-05,1.35E-05,1.022300788
RNF213,-0.232058986,7.987047693,-4.414211797,1.09E-05,1.34E-05,0.849449995
RP11-462G2.1,-0.737313446,-2.600714879,-4.415181806,1.09E-05,1.34E-05,1.6513511
RP11-521C22.2,-0.257923577,-0.088188802,-4.415507648,1.08E-05,1.34E-05,1.453917229
YAP1,-0.196265719,6.981666027,-4.416824232,1.08E-05,1.33E-05,0.837624579
TUBA1A,-0.279086207,7.244252731,-4.417688466,1.07E-05,1.32E-05,0.846446712
RASAL2-AS1,-0.22079222,-0.720299491,-4.420467061,1.06E-05,1.31E-05,1.520045284
PON1,-0.562582458,-1.872511951,-4.423027487,1.05E-05,1.29E-05,1.62524801
CTD-2020K17.3,-0.342388068,-0.156732666,-4.424324871,1.04E-05,1.28E-05,1.497012321
RDH10-AS1,-0.407230078,-1.483710294,-4.426296039,1.03E-05,1.27E-05,1.607043259
PCDHA9,-0.509872282,-3.420452436,-4.42980564,1.02E-05,1.25E-05,1.782174681
CH17-408M7.1,-0.597619435,-2.123595714,-4.429978967,1.02E-05,1.25E-05,1.676492405
RP11-1398P2.1,-0.296644482,-0.712573181,-4.4308466,1.01E-05,1.25E-05,1.564767286
HERPUD1,-0.205277317,6.967028604,-4.431957428,1.01E-05,1.24E-05,0.903443373
MTRR,-0.191516679,5.216832377,-4.432189343,1.00E-05,1.24E-05,0.920403917
INTS4P2,-0.511731911,-3.491145801,-4.436187304,9.87E-06,1.22E-05,1.815854322
GNL1,-0.154808145,6.045205893,-4.447776607,9.36E-06,1.15E-05,0.96489431
LGALS8,-0.126730716,6.317211507,-4.450327992,9.25E-06,1.14E-05,0.976244935
TARSL2,-0.163319962,3.330069304,-4.453305805,9.12E-06,1.13E-05,1.247643025
RP11-539L10.2,-0.339577828,-1.051555796,-4.453595746,9.11E-06,1.12E-05,1.690974753
GDF6,-0.521781533,-2.258303559,-4.455570902,9.03E-06,1.11E-05,1.799757957
QSOX1,-0.250669954,8.336397005,-4.455765647,9.02E-06,1.11E-05,1.041177286
CH17-260O16.1,-0.571974499,-3.774118841,-4.455821265,9.02E-06,1.11E-05,1.92514286
TP53I13,-0.191370134,4.935727503,-4.459519972,8.86E-06,1.09E-05,1.059653073
RP11-96D1.11,-0.220983042,4.650521883,-4.460438374,8.83E-06,1.09E-05,1.09010622
LNPEP,-0.159978151,5.66800371,-4.463958371,8.69E-06,1.07E-05,1.041340311
RP11-121M22.1,-0.351004919,-2.953466203,-4.465209187,8.64E-06,1.07E-05,1.899219261
C9orf9,-0.254419292,2.687675472,-4.466583324,8.58E-06,1.06E-05,1.402428177
CTB-113P19.5,-0.235175693,-1.59613878,-4.470949744,8.41E-06,1.04E-05,1.812292668
CHKB-CPT1B,-0.410073404,2.130780431,-4.471335649,8.39E-06,1.04E-05,1.496132871
ADAMTS7P4,-0.345388809,-2.544453625,-4.474572636,8.27E-06,1.02E-05,1.906984214
HIST2H2BE,-0.340636043,4.516894865,-4.475288014,8.24E-06,1.02E-05,1.170251833
RP11-434H6.6,-0.260372975,-1.921535619,-4.478723168,8.11E-06,1.00E-05,1.873745796
USH2A,-0.377897341,-2.788805382,-4.480648958,8.04E-06,9.94E-06,1.953829634
RNF169,-0.18043648,4.774217656,-4.483546892,7.93E-06,9.81E-06,1.179750435
CRIP1,-0.410717395,5.886572399,-4.487434542,7.79E-06,9.64E-06,1.141004967
GNAL,-0.281966961,3.080525997,-4.488438269,7.76E-06,9.60E-06,1.441270796
FAM129A,-0.266698459,5.803821686,-4.489456373,7.72E-06,9.55E-06,1.151144862
RP11-214O1.2,-0.379227574,-1.128565622,-4.49034273,7.69E-06,9.52E-06,1.859241204
KCTD6,-0.168638955,2.499623526,-4.495958038,7.49E-06,9.27E-06,1.557997676
FZD5,-0.280326333,4.740409647,-4.497809253,7.43E-06,9.19E-06,1.246166057
FKRP,-0.159417319,3.890643367,-4.499871136,7.36E-06,9.11E-06,1.364776023
RAB21,-0.164511378,6.116473052,-4.500723287,7.33E-06,9.07E-06,1.198377914
AC017060.1,-0.584392491,-2.812841412,-4.501891656,7.29E-06,9.02E-06,2.049822374
ZNF568,-0.262123381,2.140066131,-4.503510049,7.23E-06,8.96E-06,1.637385879
PRR15L,-0.558406282,3.916995903,-4.504411022,7.20E-06,8.92E-06,1.380891706
CTSE,-0.844624311,4.814195487,-4.505133807,7.18E-06,8.89E-06,1.271752284
SLC14A2,-0.642479452,-2.410390772,-4.511016403,6.99E-06,8.65E-06,2.057330223
CTC-203F4.2,-0.242913222,-0.944859765,-4.513719413,6.90E-06,8.55E-06,1.948195179
CCDC101,-0.160688518,3.526346311,-4.515686257,6.84E-06,8.47E-06,1.4924938
TLE6,-0.393337767,1.105010206,-4.515946658,6.83E-06,8.46E-06,1.80260787
GRIK3,-0.584244675,-2.459808005,-4.51848314,6.75E-06,8.36E-06,2.094618871
ABCG4,-0.331895679,-2.148892202,-4.518950499,6.73E-06,8.34E-06,2.071021576
RP1-101A2.1,-0.226766988,-1.597954618,-4.524555394,6.56E-06,8.13E-06,2.05010146
RP11-192H23.6,-0.591123064,-2.925484281,-4.524804991,6.55E-06,8.12E-06,2.160930954
TSTD2,-0.143287929,4.1788686,-4.527203351,6.48E-06,8.03E-06,1.443928274
AC025171.1,-0.269390615,0.704901742,-4.527805807,6.46E-06,8.01E-06,1.890268532
WSCD2,-0.562226868,-0.777339192,-4.53007813,6.39E-06,7.93E-06,2.008033083
PCDHA4,-0.543993842,0.22544594,-4.532952188,6.31E-06,7.82E-06,1.950214891
WDR93,-0.437089973,-1.235479908,-4.536188724,6.21E-06,7.70E-06,2.071946627
RP11-12J10.3,-0.278706893,-1.008111216,-4.541260187,6.07E-06,7.52E-06,2.076137135
APOC1,-0.408425338,5.870121172,-4.54169238,6.06E-06,7.51E-06,1.382802338
GADD45A,-0.290268231,5.09510847,-4.542245255,6.04E-06,7.49E-06,1.415153309
AC008993.2,-0.35160769,-1.565015298,-4.544538613,5.98E-06,7.41E-06,2.136651472
LCA5,-0.236103031,2.685143889,-4.545853725,5.94E-06,7.37E-06,1.755038838
PIK3CG,-0.364141647,2.16856208,-4.546720417,5.91E-06,7.34E-06,1.826681738
NEBL-AS1,-0.364915507,-2.552161431,-4.5480875,5.88E-06,7.29E-06,2.234445119
PDE7A,-0.21534664,5.059215017,-4.550136074,5.82E-06,7.22E-06,1.452984571
CDHR5,-0.560991234,-2.710220938,-4.554139224,5.71E-06,7.09E-06,2.274533435
ZNF397,-0.185342069,4.456321009,-4.554838515,5.69E-06,7.07E-06,1.53161535
MICB,-0.286148229,2.923896913,-4.556754494,5.64E-06,7.01E-06,1.769483657
PIN1,-0.162059819,4.946153515,-4.55711692,5.63E-06,6.99E-06,1.492790934
TEF,-0.262780389,4.738596897,-4.559873992,5.56E-06,6.91E-06,1.523536498
POLM,-0.17920267,4.281280937,-4.564239051,5.45E-06,6.77E-06,1.59598839
GPR141,-0.367430057,-0.99031982,-4.564304988,5.45E-06,6.77E-06,2.178103911
THOC1,-0.180774384,4.384186623,-4.568156589,5.35E-06,6.65E-06,1.600354157
RP11-642A1.2,-0.405356841,-2.008140821,-4.569152881,5.32E-06,6.62E-06,2.284112957
CTSS,-0.342473341,7.155167098,-4.570057622,5.30E-06,6.59E-06,1.520051843
EVI5L,-0.172239277,4.080500026,-4.572732707,5.23E-06,6.51E-06,1.662216874
ANTXR1,-0.291774139,7.033137472,-4.573845134,5.21E-06,6.47E-06,1.534802634
HOXA-AS3,-0.413243168,-1.053363748,-4.575721745,5.16E-06,6.42E-06,2.234577409
AP000350.5,-0.686209357,-1.312050497,-4.576290843,5.15E-06,6.40E-06,2.258305581
RP11-295M3.4,-0.613084858,0.940822881,-4.578808274,5.09E-06,6.33E-06,2.099092469
OR2A7,-0.387532254,0.541233193,-4.581113575,5.03E-06,6.26E-06,2.142726791
CHST3,-0.336872512,4.72463161,-4.581472308,5.02E-06,6.25E-06,1.622228955
RABGGTA,-0.157079708,4.829324855,-4.58150159,5.02E-06,6.25E-06,1.612523183
RP11-631N16.4,-0.367013885,-0.954067226,-4.586204019,4.91E-06,6.11E-06,2.273935026
ATP6V0C,-0.175953228,7.09921369,-4.58798377,4.87E-06,6.06E-06,1.599888184
ZNF773,-0.219402274,2.285549304,-4.588828149,4.85E-06,6.04E-06,2.001691207
TPM4,-0.21662942,8.992761108,-4.589798765,4.83E-06,6.01E-06,1.658749135
PRR5L,-0.286768191,3.719128976,-4.589930845,4.83E-06,6.01E-06,1.795161555
ENTPD3-AS1,-0.203144251,0.785340973,-4.590275876,4.82E-06,6.00E-06,2.164268391
GRINA,-0.186640121,7.64417463,-4.590864438,4.81E-06,5.98E-06,1.625003557
CHMP1B2P,-0.614873802,-1.539419686,-4.591129789,4.80E-06,5.97E-06,2.344203527
LTB4R2,-0.356312301,1.828951676,-4.592951806,4.76E-06,5.92E-06,2.074954224
ZBED6,-0.332515762,2.73196594,-4.593692269,4.74E-06,5.90E-06,1.963927923
ATP6V0D1,-0.183352042,6.616880275,-4.594332367,4.73E-06,5.88E-06,1.621090305
LLNLR-246C6.1,-0.301787358,-1.995196398,-4.595914098,4.69E-06,5.84E-06,2.403844743
TBC1D3H,-0.831529028,-4.42213388,-4.595971573,4.69E-06,5.84E-06,2.603547892
MSH5-SAPCD1,-0.31353488,1.819302569,-4.598503034,4.64E-06,5.77E-06,2.101179517
PRMT5-AS1,-0.343000149,-2.235903422,-4.599919539,4.60E-06,5.73E-06,2.441942219
PLAG1,-0.372591842,2.52084476,-4.606158201,4.47E-06,5.57E-06,2.049579439
HDGFRP3,-0.282528747,5.166094737,-4.607540686,4.44E-06,5.53E-06,1.70508681
RASSF7,-0.271974225,5.237426631,-4.608030571,4.43E-06,5.52E-06,1.703111122
C1orf147,-0.393315833,-2.204449282,-4.608299613,4.43E-06,5.51E-06,2.477342538
MYBL1,-0.284224994,2.265602631,-4.609984456,4.39E-06,5.47E-06,2.100102354
RP11-48B14.1,-0.237106653,-2.035729503,-4.617995301,4.23E-06,5.27E-06,2.507408967
MBIP,-0.319985779,5.222568466,-4.618782116,4.21E-06,5.25E-06,1.752844335
HNRNPA1L2,-0.160350212,2.542295128,-4.622813672,4.13E-06,5.15E-06,2.122432343
ULK3,-0.189548422,5.184058679,-4.627963793,4.03E-06,5.02E-06,1.796947514
RARB,-0.319378086,2.942189377,-4.630570407,3.98E-06,4.96E-06,2.100973824
LRRC75B,-0.256056456,3.020266067,-4.631849336,3.96E-06,4.93E-06,2.095117441
NAMPT,-0.356278765,8.135494212,-4.635070492,3.90E-06,4.86E-06,1.839091596
MAVS,-0.174544206,6.577953075,-4.637047861,3.86E-06,4.81E-06,1.814980087
RP11-281O15.7,-0.293553624,-1.046412067,-4.63764174,3.85E-06,4.80E-06,2.515010971
NPIPB15,-0.716897088,0.486997669,-4.638395532,3.84E-06,4.78E-06,2.407117598
KCNJ2-AS1,-0.37370371,-0.213981391,-4.638836071,3.83E-06,4.77E-06,2.459030918
RP11-724O16.1,-0.579091421,-2.711985853,-4.642493272,3.76E-06,4.69E-06,2.674817535
NADK,-0.169479126,6.317471424,-4.646861685,3.68E-06,4.60E-06,1.857742187
CATSPER3,-0.237796243,-1.707570349,-4.648439818,3.66E-06,4.56E-06,2.618996777
OASL,-0.397578917,3.193396772,-4.649347892,3.64E-06,4.54E-06,2.14865744
CTD-2619J13.9,-0.319616048,-1.411326615,-4.649707233,3.63E-06,4.53E-06,2.600125407
VPS11,-0.150753809,5.436827588,-4.657030712,3.51E-06,4.38E-06,1.917124002
DCP1B,-0.211909925,3.318507085,-4.659574742,3.47E-06,4.33E-06,2.176042918
MIIP,-0.184525498,4.606782996,-4.661103975,3.44E-06,4.30E-06,1.997094817
LRRC29,-0.213859433,1.27381065,-4.66143724,3.44E-06,4.29E-06,2.444716717
PLA2G10,-0.603051904,0.763682281,-4.662849252,3.41E-06,4.26E-06,2.496870794
HMGN5,-0.310301671,1.919789978,-4.663730939,3.40E-06,4.24E-06,2.3873605
ALDH1L1,-0.62244624,1.256803302,-4.667994384,3.33E-06,4.16E-06,2.476465044
FGD5-AS1,-0.152048491,6.625158456,-4.672991131,3.25E-06,4.06E-06,1.980393237
FUK,-0.181367674,4.356017595,-4.674146461,3.23E-06,4.04E-06,2.086633806
MYH9,-0.232778687,10.29153038,-4.676234696,3.20E-06,4.00E-06,2.095089307
KIAA1755,-0.319264837,1.520702585,-4.682179607,3.11E-06,3.89E-06,2.515740612
NMT2,-0.190825818,3.187317487,-4.685284346,3.06E-06,3.83E-06,2.314837805
ANK1,-0.410883287,0.403588774,-4.689082708,3.01E-06,3.76E-06,2.646323834
LHX4,-0.319580119,0.415390803,-4.691066545,2.98E-06,3.73E-06,2.654590963
PRKD3,-0.184643109,5.4402993,-4.692959335,2.95E-06,3.69E-06,2.082473468
ACIN1,-0.172309508,7.060204323,-4.69329517,2.95E-06,3.69E-06,2.080772984
CFI,-0.375008288,5.092184737,-4.693319407,2.95E-06,3.69E-06,2.102945639
NEFM,-0.705766702,-2.522863188,-4.695248485,2.92E-06,3.65E-06,2.901810211
PVRL3,-0.399321464,2.941702017,-4.696255157,2.91E-06,3.64E-06,2.402818447
RP13-942N8.1,-0.305570528,-0.828786461,-4.696548862,2.90E-06,3.63E-06,2.768519474
USP3,-0.147270678,5.275682165,-4.697309027,2.89E-06,3.62E-06,2.110347741
TMEM161B-AS1,-0.211667137,1.067568282,-4.698109016,2.88E-06,3.61E-06,2.632919933
NAP1L1,-0.173036289,8.338509637,-4.702205664,2.83E-06,3.54E-06,2.153721776
DCUN1D4,-0.171965121,4.811579004,-4.703528547,2.81E-06,3.51E-06,2.172395908
PIGZ,-0.270952741,2.383892023,-4.705887563,2.78E-06,3.47E-06,2.525078293
SKIDA1,-0.324777767,-0.936360861,-4.706320285,2.77E-06,3.47E-06,2.822171343
MTMR8,-0.310799545,-0.787317726,-4.707499619,2.75E-06,3.45E-06,2.816017521
AC079807.2,-0.265308757,-1.795832393,-4.707753744,2.75E-06,3.44E-06,2.899540683
TESK1,-0.182495138,5.243173621,-4.70776721,2.75E-06,3.44E-06,2.160557413
DDTL,-0.248673843,1.339455434,-4.709462523,2.73E-06,3.42E-06,2.659999255
CBX6,-0.263970636,6.012528919,-4.710823212,2.71E-06,3.39E-06,2.152615401
TBC1D10A,-0.191371847,4.940074929,-4.711042136,2.71E-06,3.39E-06,2.196243041
ZNF33A,-0.190591623,4.983923849,-4.717166138,2.63E-06,3.29E-06,2.221252558
MAGEE2,-0.523702543,-3.345344867,-4.717413494,2.63E-06,3.29E-06,3.071583734
RP11-341G23.4,-0.403316014,-2.396975492,-4.717447771,2.62E-06,3.29E-06,2.994302271
RP11-797H7.5,-0.451546748,-2.932761514,-4.718700828,2.61E-06,3.27E-06,3.043946722
F3,-0.403937512,6.189970848,-4.722823664,2.56E-06,3.20E-06,2.207953691
LINC00954,-0.411200393,-1.06233471,-4.728653577,2.49E-06,3.12E-06,2.935956005
IFIT3,-0.3360598,5.041648007,-4.732670904,2.44E-06,3.06E-06,2.289136072
FAM8A1,-0.190603351,5.382074777,-4.734076826,2.42E-06,3.04E-06,2.275891761
AGT,-0.563666134,1.838105115,-4.735382135,2.41E-06,3.02E-06,2.728300685
SARAF,-0.187818154,7.650072873,-4.735501018,2.40E-06,3.02E-06,2.289725696
TRAF5,-0.253866814,4.249673487,-4.740295007,2.35E-06,2.95E-06,2.407281563
ZBTB21,-0.193791155,4.289160025,-4.74089309,2.34E-06,2.94E-06,2.404807639
SEC63P1,-0.288458044,-1.914804167,-4.748140012,2.26E-06,2.84E-06,3.097370734
RP11-500M8.7,-0.903038043,-2.314660908,-4.748557576,2.26E-06,2.83E-06,3.132426266
RP11-426A6.5,-0.334260173,-2.188109604,-4.749875481,2.24E-06,2.81E-06,3.128142073
CTDP1,-0.163129294,4.612861516,-4.750131504,2.24E-06,2.81E-06,2.409104052
LGALS4,-0.710196777,-0.11886364,-4.751735938,2.22E-06,2.79E-06,2.974532713
CORO1C,-0.222601753,7.275524592,-4.752232098,2.22E-06,2.78E-06,2.359223797
CMC1,-0.176432521,3.765110854,-4.76647374,2.07E-06,2.60E-06,2.6015567
PRH1-PRR4,-0.324961181,-0.685224219,-4.769530589,2.04E-06,2.56E-06,3.097606124
NUCB1,-0.183462792,8.22151104,-4.771339815,2.02E-06,2.54E-06,2.472866814
DMRTC1B,-0.55439561,-1.699371369,-4.771808681,2.01E-06,2.53E-06,3.190295085
COLCA1,-0.55272135,3.278181696,-4.773132461,2.00E-06,2.52E-06,2.709833819
COL27A1,-0.368873145,4.523699641,-4.773425669,2.00E-06,2.51E-06,2.528233862
KIAA1551,-0.207460053,5.555491182,-4.774261893,1.99E-06,2.50E-06,2.457272611
ZNF132,-0.241279268,1.533353421,-4.774478263,1.99E-06,2.50E-06,2.944135754
RP11-399B17.1,-0.382578798,-0.660732636,-4.777180417,1.96E-06,2.47E-06,3.131715862
C19orf54,-0.196612747,3.886602183,-4.779808331,1.94E-06,2.44E-06,2.645301811
RP11-428J1.4,-0.294985589,-1.613907064,-4.781486605,1.92E-06,2.42E-06,3.228660151
GRB10,-0.258155264,5.525131979,-4.782473614,1.91E-06,2.40E-06,2.49692993
RPAIN,-0.176560819,4.664803037,-4.783345017,1.90E-06,2.39E-06,2.559515581
ZNF19,-0.224141159,1.626132185,-4.784776182,1.89E-06,2.38E-06,2.982906431
ZNF444,-0.208909783,4.778581973,-4.787829522,1.86E-06,2.34E-06,2.569422729
GRIK5,-0.438947486,-0.201277987,-4.788993713,1.85E-06,2.33E-06,3.155029897
STAG3L3,-0.222489626,3.82816911,-4.789483935,1.85E-06,2.32E-06,2.699927908
MECOM,-0.328998862,5.392367995,-4.798378808,1.77E-06,2.23E-06,2.577208612
HTR2A,-0.414972196,-1.69918935,-4.805248146,1.71E-06,2.15E-06,3.347816544
STRADA,-0.144703897,4.904553937,-4.809453236,1.68E-06,2.11E-06,2.660436503
RP11-514P8.6,-1.056044405,-1.612344342,-4.814018623,1.64E-06,2.06E-06,3.382079385
CDC42BPA,-0.255805995,5.880892688,-4.816113928,1.62E-06,2.04E-06,2.647696938
GCH1,-0.262762362,4.157277671,-4.820106377,1.59E-06,2.00E-06,2.795632267
TNN,-0.453963152,-1.104195712,-4.822540696,1.57E-06,1.98E-06,3.380535644
HLA-DRA,-0.416775709,9.602064277,-4.823122597,1.57E-06,1.97E-06,2.759627786
TIAL1,-0.153212545,6.112231491,-4.826906149,1.54E-06,1.94E-06,2.697318347
MYL6,-0.205403437,9.420518241,-4.829100678,1.52E-06,1.92E-06,2.78223776
WI2-87327B8.2,-0.482316879,-3.33276086,-4.829832566,1.52E-06,1.91E-06,3.598425039
SPATA25,-0.333562652,-1.988485125,-4.834104336,1.48E-06,1.87E-06,3.508672911
KLHDC8B,-0.218658292,4.527367732,-4.834181657,1.48E-06,1.87E-06,2.815120146
CELF1,-0.171212585,6.779448304,-4.834947209,1.48E-06,1.86E-06,2.740626106
LIMS3,-0.62970551,-2.243829305,-4.835891744,1.47E-06,1.85E-06,3.538295707
RXRA,-0.219615885,6.373494986,-4.838290553,1.45E-06,1.83E-06,2.752158872
ADAP2,-0.256667024,3.598198956,-4.838720753,1.45E-06,1.83E-06,2.969505142
LL0XNC01-131B10.2,-0.576152891,-2.618888057,-4.846941982,1.39E-06,1.76E-06,3.621689725
GPR34,-0.407253389,2.153568501,-4.847447158,1.39E-06,1.75E-06,3.219657154
RP11-17P16.1,-0.275547066,-1.9362809,-4.855797362,1.33E-06,1.68E-06,3.607698464
FAM92A1P1,-0.31859418,-2.201194304,-4.857765383,1.32E-06,1.66E-06,3.639031943
AHCYL2,-0.418495041,5.876980611,-4.85788037,1.32E-06,1.66E-06,2.846581118
ZNRF2P2,-0.340725532,-2.89072473,-4.864020731,1.28E-06,1.61E-06,3.725387428
RP11-265D17.2,-0.560826381,-0.212105609,-4.866896983,1.26E-06,1.59E-06,3.525767644
CPNE8,-0.276261248,4.135208409,-4.870992358,1.24E-06,1.56E-06,3.041409585
RP11-565F19.2,-0.216732463,-0.319413069,-4.871309702,1.23E-06,1.56E-06,3.554197834
TCHP,-0.168645487,4.184567295,-4.872581072,1.23E-06,1.55E-06,3.042080526
RP11-67H24.3,-0.564870495,-3.802712465,-4.873083021,1.22E-06,1.54E-06,3.843089976
ANKRD36C,-0.407022693,1.450128953,-4.877536327,1.20E-06,1.51E-06,3.44196012
NBPF11,-0.210408566,4.140271292,-4.88284084,1.16E-06,1.47E-06,3.097542457
RFX1,-0.167885936,4.151242098,-4.88390509,1.16E-06,1.46E-06,3.101100573
GINM1,-0.167587311,5.445522811,-4.885603437,1.15E-06,1.45E-06,2.990604114
ZNF780B,-0.215550055,3.406495953,-4.886825186,1.14E-06,1.44E-06,3.230075765
RP11-107N15.1,-0.468288039,-2.864385562,-4.888628297,1.13E-06,1.43E-06,3.84120458
RP11-473M20.5,-0.464740452,-0.36238142,-4.890915367,1.12E-06,1.41E-06,3.651256551
LRRC37A4P,-0.488633617,3.056504079,-4.895837726,1.09E-06,1.38E-06,3.327768017
LGALS1,-0.314519941,7.45632013,-4.902711299,1.05E-06,1.33E-06,3.078242206
RP11-1293J14.1,-0.351193744,-2.804303998,-4.907108216,1.03E-06,1.30E-06,3.925279487
RP1-178F15.5,-0.269782725,0.23593841,-4.907897472,1.03E-06,1.30E-06,3.691894161
HERC4,-0.164371546,5.173079371,-4.91083583,1.01E-06,1.28E-06,3.12601328
B3GNTL1,-0.235709376,2.688323333,-4.913168461,1.00E-06,1.27E-06,3.465219149
CWH43,-0.818089641,-2.438800843,-4.91360038,9.98E-07,1.26E-06,3.926757122
C6orf165,-0.620385419,-0.578513974,-4.915748388,9.88E-07,1.25E-06,3.786230663
ISG20,-0.292445257,4.65481183,-4.916238668,9.85E-07,1.25E-06,3.194809803
CTD-2547L24.3,-0.31314683,-0.887704585,-4.916653403,9.83E-07,1.24E-06,3.813945584
MOB3A,-0.185749937,5.68664376,-4.919331761,9.70E-07,1.23E-06,3.145563914
RP11-503E24.2,-0.366815943,-2.153605307,-4.919381843,9.70E-07,1.23E-06,3.931226057
FSIP1,-0.291503619,-1.346021615,-4.920419642,9.65E-07,1.22E-06,3.869223223
DNAH11,-0.580107597,2.077684227,-4.922332218,9.56E-07,1.21E-06,3.588668768
GRPEL2,-0.192852637,4.217641086,-4.923105664,9.52E-07,1.20E-06,3.280954045
ECHDC1,-0.217842367,5.584017791,-4.923367877,9.51E-07,1.20E-06,3.167880245
TESK2,-0.243048708,2.775732039,-4.924713527,9.44E-07,1.20E-06,3.50868075
ZNF37A,-0.200580547,4.160866946,-4.925710311,9.40E-07,1.19E-06,3.301447719
RP11-989E6.13,-0.473813549,-2.493497625,-4.926825856,9.34E-07,1.18E-06,3.995193811
GLIS3,-0.339472598,3.606150007,-4.92815518,9.28E-07,1.17E-06,3.397913275
FOXD4L1,-0.408130339,-2.480421912,-4.931560169,9.12E-07,1.16E-06,4.017057128
NUTM2E,-0.624707927,-2.337926852,-4.93544857,8.95E-07,1.13E-06,4.024219116
KRTAP5-1,-0.50970945,-2.350219707,-4.93631817,8.91E-07,1.13E-06,4.029447419
HLA-DQB1,-0.577625937,6.172702953,-4.9363862,8.90E-07,1.13E-06,3.223126176
NSUN7,-0.347235182,2.517998325,-4.940960956,8.70E-07,1.10E-06,3.623213427
TNRC6C-AS1,-0.277057127,3.923306179,-4.941551683,8.68E-07,1.10E-06,3.413261366
ENO3,-0.41663886,1.976752297,-4.94193744,8.66E-07,1.10E-06,3.695720684
PVRIG2P,-0.890013373,-2.940475655,-4.942434567,8.64E-07,1.09E-06,4.107325623
CRYL1,-0.244995877,4.214568114,-4.944102804,8.56E-07,1.09E-06,3.38325922
VPS53,-0.162613799,5.368044698,-4.949342485,8.34E-07,1.06E-06,3.302289162
AC013271.3,-0.539343642,-1.790132572,-4.951489371,8.25E-07,1.05E-06,4.056835407
SNHG3,-0.320369112,4.600812064,-4.954240808,8.14E-07,1.03E-06,3.385008187
RAB33A,-0.294696074,-0.240338285,-4.954627479,8.12E-07,1.03E-06,3.951269141
NUTM2B,-0.344927665,0.431178359,-4.956030154,8.06E-07,1.02E-06,3.91079896
LYPD5,-0.384878654,1.869242675,-4.959571686,7.92E-07,1.00E-06,3.793961087
GPR3,-0.362786588,0.555654213,-4.962408688,7.81E-07,9.91E-07,3.932256561
SLC4A7,-0.260100501,4.416648367,-4.963625598,7.76E-07,9.85E-07,3.452088448
RP11-374F3.5,-0.415341228,-2.999086019,-4.96566147,7.68E-07,9.75E-07,4.225142552
SELM,-0.289364665,5.444946814,-4.966226811,7.66E-07,9.72E-07,3.381263705
LXN,-0.282489386,3.751544941,-4.966920419,7.63E-07,9.69E-07,3.563515313
PEG10,-0.632912864,4.964328757,-4.967893513,7.59E-07,9.64E-07,3.417673333
AC093673.5,-0.258571012,1.54564173,-4.972306521,7.43E-07,9.43E-07,3.89118368
GSTT2,-0.677171583,-2.340191498,-4.978130585,7.21E-07,9.16E-07,4.232290541
PRMT2,-0.160337511,6.091507522,-4.9792663,7.17E-07,9.11E-07,3.432276599
TLR6,-0.294719853,2.370706763,-4.980367035,7.13E-07,9.06E-07,3.834746874
YBX3,-0.274924382,7.749791336,-4.988567034,6.84E-07,8.69E-07,3.503009403
AD000671.6,-0.317040111,0.450550651,-4.989973209,6.79E-07,8.63E-07,4.075224761
TMX2P1,-0.21594595,0.524573126,-4.994025197,6.65E-07,8.45E-07,4.089382928
ZNF326,-0.177381454,4.656466084,-5.001952414,6.39E-07,8.12E-07,3.612629323
SCRN2,-0.216301602,4.391184657,-5.003701305,6.33E-07,8.05E-07,3.651604393
SLC11A2,-0.188063727,6.136758315,-5.004705702,6.30E-07,8.01E-07,3.557050486
HAGHL,-0.360991148,2.161166347,-5.005359793,6.28E-07,7.98E-07,3.983714411
SNHG10,-0.281365755,1.51310119,-5.0066647,6.23E-07,7.93E-07,4.063011062
ZNF641,-0.171083606,4.528940373,-5.009098387,6.16E-07,7.83E-07,3.661706367
CSF1R,-0.356836115,5.626198902,-5.010007044,6.13E-07,7.80E-07,3.589796869
GOLGA4,-0.197820335,6.291948771,-5.010293909,6.12E-07,7.79E-07,3.584842501
CH17-360D5.3,-0.730904282,-1.165622141,-5.011497824,6.08E-07,7.74E-07,4.29888642
IST1,-0.146497084,6.92002645,-5.014243566,6.00E-07,7.63E-07,3.611316631
AL358852.1,-0.309785249,-2.263245613,-5.016833294,5.92E-07,7.53E-07,4.415963699
PARP10,-0.261131121,5.984444202,-5.036228048,5.36E-07,6.82E-07,3.713226781
NUDT6,-0.211728747,1.542868197,-5.0423918,5.19E-07,6.61E-07,4.236350692
SERPINA5,-0.615372492,-0.570317267,-5.045935259,5.10E-07,6.49E-07,4.422854906
NOS2,-0.659478875,1.169649196,-5.055125488,4.86E-07,6.20E-07,4.335951606
TMTC2,-0.262769977,4.44193696,-5.05597842,4.84E-07,6.17E-07,3.90381941
ZNF595,-0.292481362,2.642971753,-5.059066485,4.77E-07,6.07E-07,4.186634166
RP11-342K6.2,-0.261725023,-2.268927768,-5.066632872,4.58E-07,5.84E-07,4.662996735
CERKL,-0.310034431,3.07634337,-5.068145069,4.55E-07,5.80E-07,4.168659533
CDK18,-0.278094392,4.818676708,-5.068800609,4.53E-07,5.78E-07,3.927694939
LPIN2,-0.354078215,5.891252825,-5.068954866,4.53E-07,5.77E-07,3.876622234
CHST13,-0.450819104,-1.340877542,-5.074745398,4.40E-07,5.60E-07,4.626540722
